appendicularia 	thermocline 	halocline 	pycnocline 	chloroMax 	mixedDepth 	temperature 	salinity 	density 	fluorimetry 	windSpeed 	distance 	currentSpeed
6835 	90 	93 	90 	101 	65 	28,583402967033 	35,9490062637363 	22,9205023809524 	0,058765304029304 	494,02374893978 	4964,54795978779 	5,99901140372464
2139 	68 	61 	68 	94 	63 	28,577856401249 	35,8513593286495 	22,8492818891491 	0,0552027790788447 	320,826262626263 	23484,6696466121 	10,7896785252212
1125 	62 	67 	62 	90 	59 	28,5625603107345 	35,8686595238095 	22,866959503632 	0,0555835512510089 	194,903342366757 	16151,6123720912 	15,2242376056133
2219 	58 	72 	58 	102 	53 	28,5829736298293 	35,8847125336927 	22,8720461365678 	0,0552320125786164 	160,23679417122 	11920,0179962011 	6,57283127100415
1344 	63 	67 	63 	100 	55 	28,5756120779221 	35,8955166017316 	22,8827998484848 	0,053591987012987 	196,908045977011 	11920,0179962011 	6,6446024431257
1302 	71 	73 	71 	92 	60 	28,62180625 	35,8444415277778 	22,8293075595238 	0,0538381547619048 	245,143961352657 	16181,8498563221 	16,072152818645
1594 	71 	73 	71 	104 	65 	28,6253136587771 	35,8482050788955 	22,8310758298112 	0,0557024539306847 	338,675925925926 	4964,96185702764 	22,9791879966349
2468 	76 	76 	76 	99 	68 	28,5292843954248 	35,8255391339869 	22,8460116013072 	0,054534795751634 	240,482363315697 	4964,96185702764 	17,0805420719271
595 	72 	75 	73 	95 	61 	28,5707574551132 	35,836218813427 	22,8400348946136 	0,054113606557377 	258,038800705467 	12020,890718722 	27,6349232677889
795 	82 	83 	82 	93 	71 	28,6397035043595 	35,8674595741113 	22,8410195506372 	0,0552646344735077 	224,484848484848 	20828,9866759915 	38,9898943831399
742 	83 	79 	82 	105 	66 	28,5720377224627 	35,8206225829726 	22,8280977873978 	0,0558957696007696 	234,052586938083 	23532,0516876954 	17,6327382191322
1267 	62 	62 	62 	100 	61 	28,517895820027 	35,8320034419133 	22,8543398126464 	0,0550252700305159 	231,294222222222 	16257,3626316451 	20,5856210573997
477 	74 	74 	74 	95 	63 	28,5923136054422 	35,8050153817082 	22,8094885487528 	0,0569583446712018 	365,93501048218 	23483,3827770615 	3,08551481254803
1237 	81 	80 	81 	89 	62 	28,6392271505376 	35,8158610599078 	22,8020379416283 	0,0568318279569892 	299,050882658359 	29000,8425401203 	6,05597074654753
1611 	73 	22 	74 	106 	70 	28,6633132993197 	35,8708486054422 	22,8357103401361 	0,0579327619047619 	380,466826538769 	28961,06279241 	11,4172214665882
1960 	66 	71 	67 	100 	64 	28,624927827381 	35,8729405877976 	22,8498061755952 	0,0578636904761905 	212,109401709402 	23446,3436164324 	31,8462465662605
2303 	82 	85 	82 	101 	66 	28,6622005772006 	35,8525711038961 	22,8221534090909 	0,0571606060606061 	238,655806182122 	23473,1899366472 	28,4500127641033
2532 	73 	82 	73 	99 	68 	28,6382835959384 	35,870099667367 	22,8433632878151 	0,0539440511204482 	365,91935483871 	20825,6090385072 	20,4413504812211
3024 	88 	89 	89 	97 	67 	28,6568760838664 	35,8855067164179 	22,8486991826581 	0,0540984790334044 	314,602564102564 	12019,0556692955 	21,6729421894404
2792 	74 	54 	74 	93 	60 	28,6942118849206 	35,915665515873 	22,8586543650794 	0,0549663968253968 	293,151675485009 	4964,54795978779 	12,206266281671
2927 	72 	29 	72 	106 	60 	28,5539652777778 	35,9546715079365 	22,9344701190476 	0,0587928571428571 	256,079012345679 	4964,54795978779 	21,6924909830097
2349 	76 	92 	76 	96 	64 	28,6556222470238 	35,88727890625 	22,8503321800595 	0,0547004836309524 	302,995625546807 	11978,2989183013 	31,3058627830324
1960 	55 	37 	55 	97 	54 	28,5136546296296 	35,8587488315697 	22,875528813933 	0,0573817372134039 	502,039401103231 	16257,3626316451 	16,8720787085005
2152 	56 	45 	57 	81 	53 	28,6197193620845 	35,8630492362983 	22,8436501796945 	0,0592669362084456 	488,722222222222 	12016,8631627029 	4,59922443392889
1193 	94 	93 	94 	104 	66 	28,6822 	35,9157348484849 	22,8629621212121 	0,0569271717171717 	522,264 	12016,8631627029 	7,45988242630325
1955 	72 	54 	72 	100 	68 	28,6729572595705 	35,881039746732 	22,8400842086835 	0,0604994269374416 	472,692431561997 	16227,2328045407 	23,9508738537604
551 	70 	46 	70 	97 	48 	28,5526030753968 	35,7996313988095 	22,8180057291667 	0,0605632688492063 	539,603406326034 	23543,5152576715 	21,5046945256233
1647 	62 	53 	62 	90 	52 	28,5236177655678 	35,7887390567766 	22,8196201236264 	0,0605913873626374 	411,150481189851 	29010,1491420918 	11,7585768713868
1905 	74 	68 	74 	100 	66 	28,7400371933622 	35,8942803932179 	22,8276076118326 	0,0594236652236652 	607,762273901809 	20736,8726820956 	35,9738374558172
1681 	90 	56 	62 	100 	54 	28,6587271604938 	35,9029740740741 	22,8606410493827 	0,0578041975308642 	374,177951388889 	20736,8726820956 	17,5074734147972
